request_id,timestamp,model_version,prompt_version,query_category,retrieval_score,retrieval_success,tool_required,tool_selected_correctly,structured_output_valid,groundedness_score,correctness_score,human_pass,latency_seconds,input_tokens,output_tokens,cost_usd,failure_category
REQ-00013,2026-05-01 02:53:01,model_v1,prompt_v1,general,0.765,True,False,True,True,0.94,0.8,True,3.14,3470,501,0.0099,none
REQ-00014,2026-05-01 03:16:43,model_v1,prompt_v1,policy,0.802,True,True,True,True,0.838,0.751,True,3.72,3100,631,0.01,none
REQ-00015,2026-05-01 03:18:13,model_v1,prompt_v1,general,0.956,True,False,True,True,0.864,0.854,True,2.1,711,403,0.0038,none
REQ-00016,2026-05-01 03:29:00,model_v1,prompt_v1,product_question,0.866,True,False,True,True,0.897,0.906,False,3.18,1527,853,0.0082,none
REQ-00017,2026-05-01 03:32:50,model_v1,prompt_v1,product_question,0.673,True,False,True,True,0.726,0.712,True,1.96,3172,625,0.0101,answer_quality_failure
REQ-00018,2026-05-01 03:32:56,model_v1,prompt_v1,product_question,0.691,True,True,True,True,0.66,0.732,True,3.46,2544,112,0.0058,grounding_failure
REQ-00019,2026-05-01 04:07:18,model_v1,prompt_v1,technical_support,0.517,False,True,True,True,0.624,0.574,False,4.04,2351,321,0.0066,retrieval_failure
REQ-00020,2026-05-01 04:46:27,model_v1,prompt_v1,technical_support,0.842,True,False,True,True,0.767,0.864,True,3.45,1189,664,0.0064,none
REQ-00021,2026-05-01 04:55:53,model_v1,prompt_v1,product_question,0.61,True,True,True,True,0.582,0.619,True,3.2,2114,446,0.0069,grounding_failure
REQ-00022,2026-05-01 05:05:55,model_v1,prompt_v1,billing,0.85,True,True,True,False,0.913,0.802,True,4.38,2018,879,0.0093,invalid_structured_output
REQ-00023,2026-05-01 05:17:34,model_v1,prompt_v1,billing,0.941,True,False,True,True,0.748,0.841,True,2.65,3216,398,0.0088,none
REQ-00024,2026-05-01 05:46:57,model_v1,prompt_v1,general,0.981,True,False,True,True,1.0,0.857,True,2.17,1132,790,0.007,none
REQ-00025,2026-05-01 06:27:08,model_v1,prompt_v1,billing,0.898,True,False,True,True,0.924,0.824,True,3.37,2214,647,0.0083,none
REQ-00026,2026-05-01 06:32:18,model_v1,prompt_v1,technical_support,0.933,True,False,True,True,1.0,0.862,True,1.67,1356,120,0.0034,none
REQ-00027,2026-05-01 06:34:27,model_v1,prompt_v1,product_question,0.79,True,False,True,True,0.93,0.846,False,2.75,2630,614,0.0089,none
REQ-00028,2026-05-01 06:43:32,model_v1,prompt_v1,account,0.925,True,True,True,True,0.98,0.862,True,2.5,2846,669,0.0097,none
REQ-00029,2026-05-01 06:43:40,model_v1,prompt_v1,general,0.794,True,True,True,False,0.786,0.816,True,3.16,2450,229,0.0063,invalid_structured_output
REQ-00030,2026-05-01 06:55:58,model_v1,prompt_v1,account,0.606,True,True,True,True,0.651,0.67,False,6.44,592,335,0.0032,grounding_failure
REQ-00031,2026-05-01 07:43:27,model_v1,prompt_v1,general,0.838,True,False,True,True,0.852,0.806,True,2.83,2393,347,0.0069,none
REQ-00032,2026-05-01 07:45:36,model_v1,prompt_v1,policy,0.894,True,False,True,True,0.951,0.958,True,2.12,644,253,0.0028,none
REQ-00033,2026-05-01 08:19:04,model_v1,prompt_v1,account,0.744,True,False,True,True,0.916,0.709,True,1.77,2883,595,0.0093,answer_quality_failure
REQ-00034,2026-05-01 08:33:02,model_v1,prompt_v1,billing,0.775,True,False,True,True,0.733,0.813,True,2.04,1156,557,0.0057,none
REQ-00035,2026-05-01 08:33:36,model_v1,prompt_v1,account,0.893,True,False,True,True,0.937,0.812,False,3.08,2980,593,0.0095,none
REQ-00036,2026-05-01 08:58:32,model_v1,prompt_v1,technical_support,0.639,True,False,True,True,0.718,0.662,False,2.17,2125,517,0.0074,answer_quality_failure
REQ-00037,2026-05-01 09:11:49,model_v1,prompt_v1,account,0.551,False,True,True,True,0.661,0.631,False,3.4,901,810,0.0067,retrieval_failure
REQ-00038,2026-05-01 09:19:14,model_v1,prompt_v1,general,0.85,True,True,True,True,0.898,0.837,True,2.87,2179,621,0.0081,none
REQ-00039,2026-05-01 09:21:14,model_v1,prompt_v1,account,0.775,True,True,True,True,0.623,0.745,False,2.45,1578,424,0.0057,grounding_failure
REQ-00040,2026-05-01 09:24:01,model_v1,prompt_v1,policy,0.925,True,True,True,True,0.904,0.892,True,5.24,2929,447,0.0085,none
REQ-00041,2026-05-01 09:30:17,model_v1,prompt_v1,billing,0.851,True,True,True,True,0.767,0.788,True,2.84,2318,211,0.0059,none
REQ-00042,2026-05-01 09:36:44,model_v1,prompt_v1,general,0.831,True,True,True,True,0.891,0.697,True,4.15,1900,701,0.008,answer_quality_failure
REQ-00043,2026-05-01 09:45:25,model_v1,prompt_v1,account,0.651,True,False,True,True,0.745,0.679,True,4.14,2057,614,0.0078,answer_quality_failure
REQ-00044,2026-05-01 09:51:56,model_v1,prompt_v1,technical_support,0.618,True,False,True,True,0.82,0.777,False,2.31,1762,412,0.006,none
REQ-00045,2026-05-01 09:58:36,model_v1,prompt_v1,technical_support,0.928,True,True,True,True,1.0,0.945,True,2.63,1999,802,0.0088,none
REQ-00046,2026-05-01 10:03:57,model_v1,prompt_v1,billing,0.925,True,True,True,True,0.859,0.91,True,3.64,1172,399,0.0047,none
REQ-00047,2026-05-01 10:06:55,model_v1,prompt_v1,policy,0.926,True,True,True,True,0.921,0.875,True,3.34,541,350,0.0032,none
REQ-00048,2026-05-01 10:07:39,model_v1,prompt_v1,account,0.928,True,False,True,True,1.0,0.94,True,2.53,1601,334,0.0052,none
REQ-00049,2026-05-01 10:22:30,model_v1,prompt_v1,technical_support,0.91,True,False,True,True,0.925,0.856,True,2.37,2417,692,0.009,none
REQ-00050,2026-05-01 10:26:46,model_v1,prompt_v1,technical_support,0.762,True,False,True,True,0.846,0.775,False,2.29,3170,825,0.0113,none
REQ-00051,2026-05-01 10:38:52,model_v1,prompt_v1,product_question,0.901,True,True,True,True,1.0,0.863,True,3.69,1116,597,0.0058,none
REQ-00052,2026-05-01 10:40:01,model_v1,prompt_v1,billing,0.807,True,True,True,True,0.929,0.896,True,3.59,1869,643,0.0076,none
REQ-00053,2026-05-01 10:52:55,model_v1,prompt_v1,billing,0.786,True,False,True,True,0.827,0.648,True,2.59,709,704,0.0056,answer_quality_failure
REQ-00054,2026-05-01 11:08:03,model_v1,prompt_v1,billing,0.715,True,True,True,True,0.842,0.782,True,3.39,1721,288,0.0052,none
REQ-00055,2026-05-01 11:20:09,model_v1,prompt_v1,account,0.845,True,True,True,True,0.915,0.859,True,4.0,2903,193,0.007,none
REQ-00056,2026-05-01 11:25:04,model_v1,prompt_v1,billing,0.881,True,False,True,True,0.994,0.9,True,2.27,708,421,0.0039,none
REQ-00057,2026-05-01 11:35:53,model_v1,prompt_v1,general,0.91,True,False,True,True,0.902,0.873,False,1.83,1062,639,0.006,none
REQ-00058,2026-05-01 11:41:26,model_v1,prompt_v1,technical_support,0.896,True,False,True,True,0.975,0.963,True,2.03,2427,778,0.0095,none
REQ-00059,2026-05-01 11:41:28,model_v1,prompt_v1,product_question,0.909,True,False,True,True,0.866,0.87,True,2.25,2997,594,0.0096,none
REQ-00060,2026-05-01 12:05:17,model_v1,prompt_v1,technical_support,0.861,True,False,True,True,0.896,0.841,True,2.84,1645,670,0.0073,none
REQ-00061,2026-05-01 12:31:25,model_v1,prompt_v1,account,0.977,True,False,True,True,1.0,0.971,True,2.65,2961,783,0.0106,none
REQ-00062,2026-05-01 12:53:51,model_v1,prompt_v1,technical_support,0.894,True,True,True,True,0.934,0.783,False,4.3,2547,719,0.0094,none
REQ-00063,2026-05-01 12:56:24,model_v1,prompt_v1,account,0.938,True,False,True,True,0.936,0.855,True,2.43,2964,246,0.0074,none
REQ-00064,2026-05-01 13:07:20,model_v1,prompt_v1,technical_support,0.67,True,True,True,True,0.739,0.792,True,6.04,634,287,0.003,none
REQ-00065,2026-05-01 13:30:34,model_v1,prompt_v1,technical_support,0.62,True,False,True,True,0.758,0.727,False,3.36,778,826,0.0065,answer_quality_failure
REQ-00066,2026-05-01 13:40:03,model_v1,prompt_v1,technical_support,0.939,True,False,True,True,0.951,0.819,True,2.08,853,427,0.0043,none
REQ-00067,2026-05-01 13:47:54,model_v1,prompt_v1,general,0.939,True,False,True,True,0.923,1.0,True,2.33,838,750,0.0062,none
REQ-00068,2026-05-01 13:54:27,model_v1,prompt_v1,account,0.718,True,False,True,True,0.819,0.761,True,2.17,2800,894,0.011,none
REQ-00069,2026-05-01 14:08:29,model_v1,prompt_v1,technical_support,0.883,True,False,True,True,0.774,0.787,True,2.85,1229,314,0.0043,none
REQ-00070,2026-05-01 14:20:41,model_v1,prompt_v1,billing,0.48,False,False,True,True,0.646,0.534,True,2.77,3424,455,0.0096,retrieval_failure
REQ-00071,2026-05-01 14:41:29,model_v1,prompt_v1,technical_support,0.605,True,False,True,True,0.578,0.741,True,2.86,1844,835,0.0087,grounding_failure
REQ-00072,2026-05-01 15:06:50,model_v1,prompt_v1,product_question,0.613,True,False,True,True,0.641,0.622,True,1.73,2508,431,0.0076,grounding_failure
REQ-00073,2026-05-01 15:08:03,model_v1,prompt_v1,billing,0.944,True,True,True,True,0.941,0.879,True,3.05,2566,802,0.0099,none
REQ-00074,2026-05-01 15:10:10,model_v1,prompt_v1,product_question,0.806,True,False,True,True,0.824,0.831,False,1.98,1248,342,0.0045,none
REQ-00075,2026-05-01 15:37:25,model_v1,prompt_v1,technical_support,0.942,True,False,True,True,0.798,0.746,True,2.45,2484,877,0.0102,answer_quality_failure
REQ-00076,2026-05-01 15:41:44,model_v1,prompt_v1,billing,0.716,True,True,True,True,0.637,0.773,False,3.22,2026,895,0.0094,grounding_failure
REQ-00077,2026-05-01 15:43:32,model_v1,prompt_v1,general,0.888,True,False,True,True,0.857,0.803,True,2.11,717,184,0.0025,none
REQ-00078,2026-05-01 15:50:22,model_v1,prompt_v1,technical_support,0.899,True,True,False,True,0.76,0.852,True,2.97,2933,693,0.01,tool_selection_failure
REQ-00079,2026-05-01 15:59:01,model_v1,prompt_v1,policy,0.809,True,False,True,True,0.733,0.807,True,2.49,513,396,0.0034,none
REQ-00080,2026-05-01 16:02:06,model_v1,prompt_v1,technical_support,0.826,True,False,True,True,0.798,0.883,True,4.11,1324,208,0.0039,none
REQ-00081,2026-05-01 16:12:00,model_v1,prompt_v1,general,0.904,True,False,True,True,0.951,0.9,True,2.92,3237,661,0.0104,none
REQ-00082,2026-05-01 16:46:31,model_v1,prompt_v1,account,0.844,True,False,True,True,0.768,0.876,True,3.16,1675,421,0.0059,none
REQ-00083,2026-05-01 16:57:24,model_v1,prompt_v1,technical_support,0.954,True,False,True,True,0.77,0.892,True,4.45,2108,117,0.0049,none
REQ-00084,2026-05-01 17:00:12,model_v1,prompt_v1,policy,0.88,True,False,True,True,0.966,0.877,True,2.97,2358,303,0.0065,none
REQ-00085,2026-05-01 17:01:49,model_v1,prompt_v1,technical_support,0.939,True,False,True,True,0.97,0.928,True,2.71,2660,478,0.0082,none
REQ-00086,2026-05-01 17:12:25,model_v1,prompt_v1,technical_support,0.709,True,False,True,True,0.786,0.58,True,1.78,612,750,0.0057,answer_quality_failure
REQ-00087,2026-05-01 17:21:16,model_v1,prompt_v1,general,0.532,False,True,True,True,0.643,0.61,True,3.9,1152,331,0.0043,retrieval_failure
REQ-00088,2026-05-01 17:54:11,model_v1,prompt_v1,technical_support,0.824,True,True,True,True,0.982,0.93,False,3.63,852,457,0.0044,none
REQ-00089,2026-05-01 18:15:20,model_v1,prompt_v1,product_question,0.816,True,False,True,True,0.853,0.746,False,2.65,3128,486,0.0092,answer_quality_failure
REQ-00090,2026-05-01 18:19:49,model_v1,prompt_v1,product_question,0.833,True,True,True,True,0.847,0.794,False,3.82,3436,340,0.0089,none
REQ-00091,2026-05-01 18:24:23,model_v1,prompt_v1,policy,0.822,True,False,True,False,0.822,0.727,False,2.3,3260,790,0.0113,invalid_structured_output
REQ-00092,2026-05-01 18:50:24,model_v1,prompt_v1,general,0.872,True,False,True,True,0.898,0.754,True,2.46,2564,839,0.0102,none
REQ-00093,2026-05-01 19:08:10,model_v1,prompt_v1,product_question,0.915,True,True,False,True,0.844,0.792,True,3.04,2243,219,0.0058,tool_selection_failure
REQ-00094,2026-05-01 19:44:03,model_v1,prompt_v1,account,0.987,True,True,True,True,1.0,0.962,True,2.93,2924,238,0.0073,none
REQ-00095,2026-05-01 19:46:44,model_v1,prompt_v1,billing,0.766,True,False,True,True,0.889,0.793,True,2.41,3150,241,0.0077,none
REQ-00096,2026-05-01 19:55:54,model_v1,prompt_v1,product_question,0.843,True,False,True,True,0.937,0.78,True,1.73,3256,890,0.0119,none
REQ-00097,2026-05-01 20:10:10,model_v1,prompt_v1,policy,0.817,True,False,True,True,0.828,0.746,True,3.88,884,419,0.0043,answer_quality_failure
REQ-00098,2026-05-01 20:25:37,model_v1,prompt_v1,technical_support,0.721,True,True,True,True,0.795,0.707,True,3.56,2989,646,0.0099,answer_quality_failure
REQ-00099,2026-05-01 20:33:10,model_v1,prompt_v1,billing,0.852,True,True,False,True,0.761,0.747,True,3.5,3029,100,0.0067,tool_selection_failure
REQ-00100,2026-05-01 21:10:51,model_v1,prompt_v1,account,0.357,False,True,True,True,0.444,0.456,False,2.96,2340,314,0.0066,retrieval_failure
REQ-00101,2026-05-01 21:34:09,model_v1,prompt_v1,technical_support,0.947,True,False,True,True,0.97,0.976,True,2.07,1181,116,0.0031,none
REQ-00102,2026-05-01 21:34:48,model_v1,prompt_v1,policy,0.688,True,False,True,True,0.811,0.711,True,2.23,2121,759,0.0088,answer_quality_failure
REQ-00103,2026-05-01 21:38:10,model_v1,prompt_v1,billing,0.845,True,False,True,True,0.727,0.774,True,1.73,2775,767,0.0102,none
REQ-00104,2026-05-01 21:46:12,model_v1,prompt_v1,product_question,0.741,True,True,False,True,0.692,0.73,True,3.09,1224,649,0.0063,tool_selection_failure
REQ-00105,2026-05-01 22:54:51,model_v1,prompt_v1,policy,0.781,True,True,True,True,0.743,0.657,True,3.83,2811,773,0.0103,answer_quality_failure
REQ-00106,2026-05-01 22:58:11,model_v1,prompt_v1,general,0.816,True,False,True,True,0.854,0.913,True,2.38,3157,746,0.0108,none
REQ-00107,2026-05-01 23:21:23,model_v1,prompt_v1,billing,0.764,True,True,True,True,0.766,0.826,False,2.88,2396,769,0.0094,none
REQ-00108,2026-05-01 23:31:53,model_v1,prompt_v1,general,0.578,False,True,True,True,0.594,0.698,True,3.32,2059,166,0.0051,retrieval_failure
REQ-00109,2026-05-01 23:53:41,model_v1,prompt_v1,product_question,0.707,True,False,True,True,0.738,0.7,True,2.03,501,322,0.0029,answer_quality_failure
REQ-00110,2026-05-02 00:23:09,model_v1,prompt_v1,policy,0.918,True,True,True,True,0.873,0.821,True,3.59,3242,234,0.0079,none
REQ-00111,2026-05-02 01:06:39,model_v1,prompt_v1,billing,0.845,True,False,True,True,0.913,0.813,True,2.46,706,746,0.0059,none
REQ-00112,2026-05-02 01:13:27,model_v1,prompt_v1,technical_support,0.768,True,True,True,True,0.78,0.759,True,3.73,1800,100,0.0042,none
REQ-00113,2026-05-02 01:44:09,model_v1,prompt_v1,product_question,0.917,True,True,True,True,0.998,0.979,True,2.81,1325,872,0.0079,none
REQ-00114,2026-05-02 01:44:34,model_v1,prompt_v1,account,0.92,True,True,True,False,0.755,0.727,False,3.03,2449,720,0.0092,invalid_structured_output
REQ-00115,2026-05-02 01:49:39,model_v1,prompt_v1,technical_support,0.84,True,False,True,True,0.878,0.917,True,2.14,2358,387,0.007,none
REQ-00116,2026-05-02 01:55:58,model_v1,prompt_v1,technical_support,0.723,True,True,True,True,0.917,0.783,True,2.8,677,375,0.0036,none
REQ-00117,2026-05-02 02:05:32,model_v1,prompt_v1,technical_support,0.924,True,False,True,True,0.891,0.945,True,2.58,915,442,0.0045,none
REQ-00118,2026-05-02 02:09:48,model_v1,prompt_v1,billing,0.735,True,True,True,True,0.758,0.785,False,2.22,3221,715,0.0107,none
REQ-00119,2026-05-02 02:16:42,model_v1,prompt_v1,technical_support,0.546,False,False,True,True,0.608,0.678,True,3.13,716,339,0.0035,retrieval_failure
REQ-00120,2026-05-02 02:28:49,model_v1,prompt_v1,account,0.817,True,True,True,True,0.729,0.849,True,2.89,2248,102,0.0051,none
REQ-00121,2026-05-02 02:37:35,model_v1,prompt_v1,general,0.857,True,True,True,True,0.931,0.853,True,4.16,703,537,0.0046,none
REQ-00122,2026-05-02 02:38:08,model_v1,prompt_v1,general,0.948,True,False,True,True,0.861,0.827,False,1.67,706,683,0.0055,none
REQ-00123,2026-05-02 02:54:30,model_v1,prompt_v1,account,0.708,True,False,True,True,0.824,0.712,False,2.99,2604,649,0.0091,answer_quality_failure
REQ-00124,2026-05-02 03:05:01,model_v1,prompt_v1,billing,0.731,True,True,True,True,0.803,0.829,True,2.83,2291,578,0.008,none
REQ-00125,2026-05-02 03:45:13,model_v1,prompt_v1,account,0.936,True,True,True,True,0.955,0.994,True,3.42,2779,792,0.0103,none
REQ-00126,2026-05-02 04:38:13,model_v1,prompt_v1,technical_support,0.624,True,False,True,True,0.639,0.639,True,2.95,2689,605,0.009,grounding_failure
REQ-00127,2026-05-02 05:25:42,model_v1,prompt_v1,general,0.806,True,True,True,True,0.848,0.884,True,5.25,1497,486,0.0059,none
REQ-00128,2026-05-02 05:42:21,model_v1,prompt_v1,technical_support,0.842,True,False,True,True,0.848,0.891,True,2.64,687,715,0.0057,none
REQ-00129,2026-05-02 05:46:04,model_v1,prompt_v1,billing,0.922,True,True,True,True,0.913,0.795,True,2.03,2979,132,0.0068,none
REQ-00130,2026-05-02 05:50:44,model_v1,prompt_v1,billing,0.809,True,False,True,True,0.65,0.824,True,2.15,2171,514,0.0074,grounding_failure
REQ-00131,2026-05-02 06:06:22,model_v1,prompt_v1,account,0.733,True,False,True,True,0.813,0.739,False,2.65,2278,562,0.0079,answer_quality_failure
REQ-00132,2026-05-02 06:10:13,model_v1,prompt_v1,policy,0.903,True,True,True,True,1.0,0.99,True,3.55,2249,830,0.0095,none
REQ-00133,2026-05-02 06:10:27,model_v1,prompt_v1,product_question,0.967,True,True,True,True,0.839,0.902,True,3.42,1004,823,0.0069,none
REQ-00134,2026-05-02 06:30:01,model_v1,prompt_v1,product_question,0.769,True,False,True,True,0.866,0.955,True,2.85,541,744,0.0055,none
REQ-00135,2026-05-02 06:48:38,model_v1,prompt_v1,account,0.985,True,True,True,True,0.924,0.916,True,6.53,2256,381,0.0068,none
REQ-00136,2026-05-02 06:49:53,model_v1,prompt_v1,general,0.715,True,True,True,True,0.692,0.702,True,3.56,1596,130,0.004,grounding_failure
REQ-00137,2026-05-02 06:57:42,model_v1,prompt_v1,technical_support,0.424,False,True,True,True,0.526,0.598,True,3.72,798,155,0.0025,retrieval_failure
REQ-00138,2026-05-02 07:07:37,model_v1,prompt_v1,policy,0.961,True,True,True,True,1.0,0.973,True,3.13,1971,278,0.0056,none
REQ-00139,2026-05-02 07:21:45,model_v1,prompt_v1,general,0.796,True,False,True,True,0.837,0.846,True,2.02,2996,205,0.0072,none
REQ-00140,2026-05-02 08:01:38,model_v1,prompt_v1,technical_support,0.751,True,False,True,True,0.779,0.755,True,1.87,3095,502,0.0092,none
REQ-00141,2026-05-02 08:48:24,model_v1,prompt_v1,general,0.941,True,False,True,True,0.802,0.915,True,2.53,1886,408,0.0062,none
REQ-00142,2026-05-02 08:49:48,model_v1,prompt_v1,account,0.518,False,True,True,True,0.675,0.576,True,4.0,3451,249,0.0084,retrieval_failure
REQ-00143,2026-05-02 08:50:59,model_v1,prompt_v1,product_question,0.723,True,False,True,True,0.845,0.645,False,2.21,3028,574,0.0095,answer_quality_failure
REQ-00144,2026-05-02 08:59:19,model_v1,prompt_v1,billing,0.856,True,False,True,True,0.877,0.871,True,2.42,934,719,0.0062,none
REQ-00145,2026-05-02 09:16:49,model_v1,prompt_v1,technical_support,0.869,True,True,True,True,0.785,0.966,True,3.0,2946,600,0.0095,none
REQ-00146,2026-05-02 09:38:26,model_v1,prompt_v1,account,0.742,True,False,True,True,0.819,0.821,True,2.36,1779,274,0.0052,none
REQ-00147,2026-05-02 09:45:20,model_v1,prompt_v1,billing,0.878,True,True,True,True,1.0,0.844,True,3.2,1359,167,0.0037,none
REQ-00148,2026-05-02 09:45:38,model_v1,prompt_v1,billing,0.971,True,False,True,True,0.92,0.893,True,2.08,2399,535,0.008,none
REQ-00149,2026-05-02 09:58:34,model_v1,prompt_v1,technical_support,0.787,True,True,True,True,0.884,0.82,True,3.05,3384,489,0.0097,none
REQ-00150,2026-05-02 09:59:50,model_v1,prompt_v1,product_question,0.959,True,True,True,True,0.908,0.849,True,2.51,2194,850,0.0095,none
REQ-00151,2026-05-02 10:08:56,model_v1,prompt_v1,technical_support,0.895,True,True,False,True,0.87,0.756,True,5.31,1167,650,0.0062,tool_selection_failure
REQ-00152,2026-05-02 10:10:39,model_v1,prompt_v1,account,0.739,True,True,True,True,0.795,0.799,True,3.09,3286,504,0.0096,none
REQ-00153,2026-05-02 10:16:52,model_v1,prompt_v1,general,0.922,True,True,True,True,0.874,0.904,True,3.85,2172,185,0.0055,none
REQ-00154,2026-05-02 10:23:51,model_v1,prompt_v1,general,0.824,True,False,True,True,0.803,0.761,True,2.95,610,325,0.0032,none
REQ-00155,2026-05-02 10:40:05,model_v1,prompt_v1,billing,0.734,True,False,True,True,0.778,0.687,True,3.26,2883,229,0.0071,answer_quality_failure
REQ-00156,2026-05-02 10:41:45,model_v1,prompt_v1,technical_support,0.83,True,False,True,True,0.907,0.832,True,4.46,1970,370,0.0062,none
REQ-00157,2026-05-02 10:43:30,model_v1,prompt_v1,product_question,0.629,True,True,True,False,0.715,0.68,True,3.16,1729,133,0.0043,invalid_structured_output
REQ-00158,2026-05-02 11:12:21,model_v1,prompt_v1,policy,0.644,True,False,True,True,0.716,0.751,True,2.36,937,477,0.0047,none
REQ-00159,2026-05-02 11:13:31,model_v1,prompt_v1,technical_support,0.47,False,False,True,False,0.619,0.565,False,1.98,2173,171,0.0054,retrieval_failure
REQ-00160,2026-05-02 11:24:52,model_v1,prompt_v1,policy,0.789,True,False,True,True,0.924,0.849,True,2.54,2472,266,0.0065,none
REQ-00161,2026-05-02 11:51:55,model_v1,prompt_v1,billing,0.825,True,False,True,True,0.767,0.831,True,2.03,542,473,0.0039,none
REQ-00162,2026-05-02 11:56:24,model_v1,prompt_v1,technical_support,0.632,True,True,True,True,0.758,0.765,True,3.93,876,834,0.0068,none
REQ-00163,2026-05-02 11:57:10,model_v1,prompt_v1,product_question,0.725,True,False,True,True,0.83,0.772,True,1.97,3169,819,0.0113,none
REQ-00164,2026-05-02 11:58:20,model_v1,prompt_v1,product_question,0.872,True,False,True,True,0.856,0.809,True,1.92,2101,523,0.0073,none
REQ-00165,2026-05-02 12:57:37,model_v1,prompt_v1,policy,0.976,True,False,True,True,1.0,0.915,True,1.99,1306,871,0.0078,none
REQ-00166,2026-05-02 13:00:08,model_v1,prompt_v1,billing,0.753,True,True,True,True,0.855,0.785,True,2.54,1248,483,0.0054,none
REQ-00167,2026-05-02 13:44:25,model_v1,prompt_v1,billing,0.915,True,True,True,True,0.953,1.0,True,3.83,2730,362,0.0076,none
REQ-00168,2026-05-02 13:49:46,model_v1,prompt_v1,billing,0.634,True,False,True,True,0.623,0.653,True,2.22,997,878,0.0073,grounding_failure
REQ-00169,2026-05-02 14:05:57,model_v1,prompt_v1,account,0.76,True,False,True,True,0.757,0.888,True,2.47,1069,595,0.0057,none
REQ-00170,2026-05-02 14:09:03,model_v1,prompt_v1,billing,0.951,True,False,True,True,0.871,0.892,True,1.82,3478,828,0.0119,none
REQ-00171,2026-05-02 14:09:40,model_v1,prompt_v1,technical_support,0.843,True,True,True,True,0.899,0.824,True,3.18,742,268,0.0031,none
REQ-00172,2026-05-02 14:11:11,model_v1,prompt_v1,technical_support,0.674,True,False,True,True,0.801,0.707,True,2.2,2282,249,0.0061,answer_quality_failure
REQ-00173,2026-05-02 14:21:56,model_v1,prompt_v1,product_question,0.558,False,True,True,True,0.645,0.591,True,4.91,2492,797,0.0098,retrieval_failure
REQ-00174,2026-05-02 14:47:27,model_v1,prompt_v1,technical_support,0.625,True,False,True,True,0.689,0.686,True,4.38,1488,386,0.0053,grounding_failure
REQ-00175,2026-05-02 14:56:29,model_v1,prompt_v1,billing,0.306,False,False,True,True,0.654,0.54,False,2.67,2796,448,0.0083,retrieval_failure
REQ-00176,2026-05-02 15:22:59,model_v1,prompt_v1,product_question,0.852,True,True,True,True,0.868,0.844,True,3.86,1326,797,0.0074,none
REQ-00177,2026-05-02 15:46:30,model_v1,prompt_v1,billing,0.694,True,True,True,True,0.783,0.884,True,3.43,1843,710,0.0079,none
REQ-00178,2026-05-02 16:16:01,model_v1,prompt_v1,general,0.888,True,True,True,True,0.861,0.941,True,3.43,3344,375,0.0089,none
REQ-00179,2026-05-02 16:16:23,model_v1,prompt_v1,billing,0.989,True,True,True,True,1.0,0.943,False,3.09,1063,165,0.0031,none
REQ-00180,2026-05-02 16:39:24,model_v1,prompt_v1,technical_support,0.875,True,False,True,True,0.898,0.837,True,2.45,929,756,0.0064,none
REQ-00181,2026-05-02 16:57:41,model_v1,prompt_v1,general,0.858,True,False,True,True,0.871,0.762,True,2.23,1377,138,0.0036,none
REQ-00182,2026-05-02 17:27:05,model_v1,prompt_v1,product_question,0.896,True,True,True,True,0.898,0.886,True,3.44,1208,265,0.004,none
REQ-00183,2026-05-02 17:29:13,model_v1,prompt_v1,product_question,0.898,True,False,True,True,0.855,0.92,True,2.69,518,831,0.006,none
